date,precipitation,precipitation_normal,status_preci
19481018,0.01,3.29,1
19481019,0.01,3.3,1
19481020,0.01,3.31,1
19481021,0.01,3.32,1
19481022,0.01,3.33,1
19481023,0.01,3.34,1
19481024,0.01,3.36,1
19481025,0.01,3.37,1
19481026,0.01,3.38,1
19481027,0.01,3.39,1
19481028,0.01,3.4,1
19481029,0.01,3.41,1
19481030,0.01,3.42,1
19481031,0.01,3.43,1
19481101,0.01,3.44,1
19481102,0.01,3.45,1
19481103,0.01,3.46,1
19481104,0.01,3.46,1
19481105,0.01,3.47,1
19481106,0.01,3.48,1
19481107,0.01,3.49,1
19481108,0.01,3.5,1
19481109,0.01,3.51,1
19481110,0.01,3.52,1
19481111,0.01,3.52,1
19481112,0.01,3.53,1
19481113,0.01,3.54,1
19481114,0.01,3.55,1
19481115,0.01,3.56,1
19481116,0.01,3.57,1
19481117,0.01,3.58,1
19481118,0.01,3.59,1
19481119,0.01,3.6,1
19481120,0.01,3.61,1
19481121,0.01,3.62,1
19481122,0.01,3.63,1
19481123,0.01,3.65,1
19481124,0.01,3.66,1
19481125,0.01,3.67,1
19481126,0.01,3.68,1
19481127,0.01,3.69,1
19481128,0.01,3.71,1
19481129,0.01,3.72,1
19481130,0.01,3.73,1
19481201,0.01,3.74,1
19481202,0.01,3.75,1
19481203,0.01,3.77,1
19481204,0.01,3.78,1
19481205,0.01,3.79,1
19481206,0.01,3.8,1
19481207,0.01,3.81,1
19481208,0.01,3.82,1
19481209,0.01,3.83,1
19481210,0.01,3.85,1
19481211,0.01,3.86,1
19481212,0.01,3.87,1
19481213,0.01,3.88,1
19481214,0.01,3.9,1
19481215,0.01,3.91,1
19481216,0.01,3.93,1
19481217,0.01,3.94,1
19481218,0.01,3.96,1
19481219,0.01,3.97,1
19481220,0.01,3.98,1
19481221,0.01,4.0,1
19481222,0.04,4.02,1
19481223,0.05,4.03,1
19481224,0.05,4.05,1
19481225,0.05,4.07,1
19481226,0.05,4.08,1
19481227,0.3,4.1,1
19481228,0.3,4.12,1
19481229,0.3,4.14,1
19481230,0.3,4.16,1
19481231,0.3,4.18,1
19490102,0.1,0.04,0
19490103,0.1,0.06,0
19490104,0.1,0.08,0
19490105,0.1,0.1,0
19490106,0.1,0.12,1
19490107,0.1,0.14,1
19490108,0.1,0.16,1
19490109,0.11,0.18,1
19490110,0.44,0.2,0
19490111,0.73,0.22,0
19490112,1.38,0.23,0
19490113,1.78,0.25,0
19490114,1.78,0.27,0
19490115,1.78,0.29,0
19490116,1.78,0.31,0
19490117,1.78,0.33,0
19490118,1.78,0.35,0
19490119,1.84,0.36,0
19490120,1.97,0.38,0
19490121,1.99,0.39,0
19490122,2.02,0.41,0
19490123,2.02,0.43,0
19490124,2.02,0.44,0
19490125,2.41,0.46,0
19490126,2.41,0.47,0
19490127,2.41,0.49,0
19490128,2.41,0.51,0
19490129,2.41,0.52,0
19490130,2.41,0.54,0
19490131,2.41,0.56,0
19490201,2.41,0.58,0
19490202,2.41,0.6,0
19490203,2.41,0.63,0
19490204,2.41,0.65,0
19490205,2.41,0.67,0
19490206,2.41,0.69,0
19490207,2.41,0.72,0
19490208,2.41,0.75,0
19490209,2.41,0.77,0
19490210,2.41,0.8,0
19490211,2.41,0.83,0
19490212,2.41,0.85,0
19490213,2.41,0.88,0
19490214,2.41,0.92,0
19490215,2.41,0.95,0
19490216,2.41,0.98,0
19490217,2.41,1.01,0
19490218,2.41,1.05,0
19490219,2.41,1.08,0
19490220,2.41,1.11,0
19490221,2.41,1.14,0
19490222,2.41,1.18,0
19490223,2.41,1.21,0
19490224,2.41,1.24,0
19490225,2.41,1.27,0
19490226,2.41,1.3,0
19490227,3.02,1.33,0
19490228,3.03,1.36,0
19490301,3.03,1.38,0
19490302,3.03,1.4,0
19490303,3.03,1.42,0
19490304,3.03,1.44,0
19490305,3.03,1.46,0
19490306,3.03,1.48,0
19490307,3.03,1.5,0
19490308,3.03,1.52,0
19490309,3.03,1.53,0
19490310,3.03,1.55,0
19490311,3.03,1.56,0
19490312,3.03,1.58,0
19490313,3.03,1.59,0
19490314,3.03,1.61,0
19490315,3.03,1.62,0
19490316,3.03,1.63,0
19490317,3.03,1.64,0
19490318,3.03,1.65,0
19490319,3.03,1.66,0
19490320,3.03,1.68,0
19490321,3.03,1.69,0
19490322,3.03,1.7,0
19490323,3.03,1.71,0
19490324,3.03,1.72,0
19490325,3.03,1.73,0
19490326,3.03,1.74,0
19490327,3.03,1.74,0
19490328,3.03,1.75,0
19490329,3.03,1.76,0
19490330,3.03,1.77,0
19490331,3.34,1.78,0
19490401,3.34,1.79,0
19490402,3.34,1.8,0
19490403,3.34,1.81,0
19490404,3.34,1.82,0
19490405,3.34,1.83,0
19490406,3.34,1.84,0
19490407,3.41,1.85,0
19490408,3.41,1.85,0
19490409,3.41,1.86,0
19490410,3.41,1.87,0
19490411,3.41,1.88,0
19490412,3.41,1.88,0
19490413,3.41,1.89,0
19490414,3.41,1.89,0
19490415,3.41,1.9,0
19490416,3.41,1.9,0
19490417,3.41,1.91,0
19490418,3.41,1.92,0
19490419,3.42,1.92,0
19490420,3.42,1.93,0
19490421,3.42,1.93,0
19490422,3.42,1.94,0
19490423,3.42,1.94,0
19490424,3.42,1.95,0
19490425,3.42,1.95,0
19490426,3.42,1.96,0
19490427,3.42,1.96,0
19490428,3.42,1.97,0
19490429,3.42,1.98,0
19490430,3.42,1.98,0
19490501,3.42,1.98,0
19490502,3.42,1.99,0
19490503,3.42,1.99,0
19490504,3.42,1.99,0
19490505,3.42,2.0,0
19490506,3.42,2.0,0
19490507,3.42,2.0,0
19490508,3.42,2.01,0
19490509,3.42,2.01,0
19490510,3.42,2.01,0
19490511,3.42,2.02,0
19490512,3.42,2.02,0
19490513,3.42,2.02,0
19490514,3.42,2.02,0
19490515,3.51,2.03,0
19490516,3.65,2.03,0
19490517,3.66,2.03,0
19490518,3.66,2.03,0
19490519,3.71,2.03,0
19490520,3.71,2.03,0
19490521,3.71,2.04,0
19490522,3.71,2.04,0
19490523,3.71,2.04,0
19490524,3.71,2.04,0
19490525,3.71,2.04,0
19490526,3.71,2.04,0
19490527,3.71,2.05,0
19490528,3.71,2.05,0
19490529,3.71,2.05,0
19490530,3.71,2.05,0
19490531,3.71,2.05,0
19490601,3.71,2.05,0
19490602,3.71,2.05,0
19490603,3.72,2.05,0
19490604,3.72,2.05,0
19490605,3.77,2.05,0
19490606,3.77,2.06,0
19490607,3.77,2.06,0
19490608,3.77,2.06,0
19490609,3.77,2.06,0
19490610,3.77,2.06,0
19490611,3.77,2.06,0
19490612,3.78,2.06,0
19490613,3.78,2.06,0
19490614,3.78,2.06,0
19490615,3.78,2.06,0
19490616,3.78,2.06,0
19490617,3.78,2.06,0
19490618,3.78,2.06,0
19490619,3.78,2.06,0
19490620,3.78,2.06,0
19490621,3.78,2.07,0
19490622,3.78,2.07,0
19490623,3.78,2.07,0
19490624,3.78,2.07,0
19490625,3.78,2.07,0
19490626,3.78,2.08,0
19490627,3.78,2.08,0
19490628,3.78,2.08,0
19490629,3.78,2.09,0
19490630,3.78,2.09,0
19490701,3.78,2.1,0
19490702,3.78,2.11,0
19490703,3.78,2.11,0
19490704,3.94,2.12,0
19490705,3.94,2.13,0
19490706,3.94,2.14,0
19490707,3.94,2.15,0
19490708,3.94,2.17,0
19490709,3.94,2.18,0
19490710,3.94,2.19,0
19490711,3.94,2.2,0
19490712,3.94,2.21,0
19490713,3.94,2.23,0
19490714,3.94,2.24,0
19490715,3.94,2.25,0
19490716,3.94,2.27,0
19490717,3.94,2.28,0
19490718,3.94,2.3,0
19490719,3.94,2.31,0
19490720,3.94,2.32,0
19490721,3.94,2.34,0
19490722,3.94,2.35,0
19490723,3.94,2.37,0
19490724,3.94,2.38,0
19490725,3.94,2.39,0
19490726,3.94,2.4,0
