date,max,min,normal_max,normal_min,mean,status_temp
19480906,105.0,61.0,98.7,76.1,83.0,1
19480907,104.0,60.0,98.4,75.8,82.0,1
19480908,103.0,64.0,98.0,75.4,83.5,1
19480909,106.0,62.0,97.7,75.1,84.0,1
19480910,106.0,61.0,97.3,74.7,83.5,1
19480911,107.0,62.0,97.0,74.4,84.5,1
19480912,108.0,66.0,96.6,74.0,87.0,1
19480913,109.0,62.0,96.2,73.6,85.5,1
19480914,106.0,62.0,95.8,73.2,84.0,1
19480915,103.0,68.0,95.4,72.8,85.5,1
19480916,90.0,72.0,95.0,72.4,81.0,1
19480917,92.0,70.0,94.6,72.0,81.0,1
19480918,92.0,64.0,94.2,71.6,78.0,1
19480919,90.0,56.0,93.7,71.2,73.0,1
19480920,94.0,57.0,93.3,70.8,75.5,1
19480921,96.0,54.0,92.8,70.4,75.0,1
19480922,92.0,61.0,92.4,69.9,76.5,1
19480923,93.0,56.0,91.9,69.5,74.5,1
19480924,84.0,63.0,91.5,69.1,73.5,1
19480925,72.0,50.0,91.0,68.6,61.0,0
19480926,81.0,45.0,90.5,68.2,63.0,0
19480927,90.0,43.0,90.0,67.7,66.5,0
19480928,94.0,52.0,89.6,67.3,73.0,1
19480929,95.0,52.0,89.1,66.8,73.5,1
19480930,94.0,63.0,88.6,66.4,78.5,1
19481001,95.0,58.0,88.1,65.9,76.5,1
19481002,97.0,56.0,87.6,65.5,76.5,1
19481003,96.0,59.0,87.2,65.1,77.5,1
19481004,90.0,66.0,86.7,64.6,78.0,1
19481005,90.0,56.0,86.2,64.2,73.0,1
19481006,83.0,61.0,85.7,63.7,72.0,1
19481007,88.0,49.0,85.3,63.3,68.5,1
19481008,93.0,52.0,84.8,62.9,72.5,1
19481009,94.0,50.0,84.3,62.5,72.0,1
19481010,92.0,48.0,83.9,62.0,70.0,1
19481011,88.0,49.0,83.4,61.6,68.5,1
19481012,87.0,51.0,82.9,61.2,69.0,1
19481013,89.0,60.0,82.5,60.8,74.5,1
19481014,82.0,56.0,82.0,60.3,69.0,1
19481015,83.0,52.0,81.6,59.9,67.5,1
19481016,86.0,49.0,81.1,59.5,67.5,1
19481017,83.0,58.0,80.7,59.1,70.5,1
19481018,75.0,48.0,80.2,58.7,61.5,1
19481019,78.0,41.0,79.8,58.3,59.5,1
19481020,85.0,46.0,79.4,57.9,65.5,1
19481021,89.0,43.0,78.9,57.5,66.0,1
19481022,88.0,44.0,78.5,57.1,66.0,1
19481023,86.0,47.0,78.0,56.7,66.5,1
19481024,86.0,45.0,77.6,56.3,65.5,1
19481025,86.0,45.0,77.2,55.9,65.5,1
19481026,82.0,47.0,76.7,55.5,64.5,1
19481027,80.0,42.0,76.3,55.1,61.0,1
19481028,69.0,44.0,75.8,54.7,56.5,1
19481029,70.0,38.0,75.4,54.3,54.0,0
19481030,60.0,47.0,74.9,53.9,53.5,0
19481031,75.0,39.0,74.5,53.5,57.0,1
19481101,75.0,40.0,74.0,53.1,57.5,1
19481102,77.0,48.0,73.6,52.7,62.5,1
19481103,78.0,49.0,73.1,52.3,63.5,1
19481104,64.0,46.0,72.7,51.9,55.0,1
19481105,66.0,32.0,72.2,51.5,49.0,0
19481106,71.0,30.0,71.7,51.1,50.5,0
19481107,70.0,38.0,71.2,50.6,54.0,1
19481108,58.0,39.0,70.8,50.2,48.5,0
19481109,64.0,27.0,70.3,49.8,45.5,0
19481110,64.0,27.0,69.8,49.4,45.5,0
19481111,65.0,40.0,69.3,49.0,52.5,1
19481112,67.0,33.0,68.8,48.6,50.0,1
19481113,74.0,32.0,68.3,48.2,53.0,1
19481114,75.0,33.0,67.8,47.8,54.0,1
19481115,71.0,33.0,67.3,47.4,52.0,1
19481116,68.0,32.0,66.8,47.0,50.0,1
19481117,68.0,34.0,66.3,46.6,51.0,1
19481118,57.0,37.0,65.8,46.2,47.0,1
19481119,61.0,28.0,65.3,45.8,44.5,0
19481120,62.0,25.0,64.9,45.4,43.5,0
19481121,61.0,39.0,64.4,45.0,50.0,1
19481122,63.0,36.0,63.9,44.7,49.5,1
19481123,68.0,32.0,63.4,44.3,50.0,1
19481124,64.0,31.0,62.9,43.9,47.5,1
19481125,66.0,36.0,62.5,43.6,51.0,1
19481126,61.0,26.0,62.0,43.2,43.5,1
19481127,54.0,31.0,61.6,42.9,42.5,0
19481128,57.0,22.0,61.2,42.6,39.5,0
19481129,65.0,21.0,60.7,42.3,43.0,1
19481130,63.0,22.0,60.3,42.0,42.5,1
19481201,59.0,32.0,59.9,41.7,45.5,1
19481202,59.0,24.0,59.6,41.4,41.5,1
19481203,66.0,23.0,59.2,41.2,44.5,1
19481204,50.0,24.0,58.9,40.9,37.0,0
19481205,51.0,18.0,58.5,40.7,34.5,0
19481206,59.0,25.0,58.2,40.5,42.0,1
19481207,54.0,21.0,57.9,40.3,37.5,0
19481208,61.0,24.0,57.6,40.1,42.5,1
19481209,63.0,25.0,57.4,39.9,44.0,1
19481210,65.0,29.0,57.2,39.8,47.0,1
19481211,63.0,29.0,56.9,39.6,46.0,1
19481212,56.0,30.0,56.7,39.5,43.0,1
19481213,70.0,40.0,56.6,39.4,55.0,1
19481214,58.0,39.0,56.4,39.3,48.5,1
19481219,54.0,25.0,55.9,39.0,39.5,1
19481220,54.0,24.0,55.9,38.9,39.0,1
19481221,48.0,26.0,55.9,38.9,37.0,0
19481222,46.0,34.0,55.9,38.9,40.0,1
19481223,44.0,25.0,55.9,38.9,34.5,0
19481224,44.0,18.0,55.9,38.9,31.0,0
19481225,44.0,17.0,55.9,39.0,30.5,0
19481226,56.0,34.0,56.0,39.0,45.0,1
19481227,50.0,33.0,56.0,39.0,41.5,1
19481228,53.0,31.0,56.1,39.1,42.0,1
19481229,50.0,26.0,56.2,39.1,38.0,0
19481230,51.0,32.0,56.3,39.2,41.5,1
19481231,49.0,30.0,56.4,39.3,39.5,1
19490101,48.0,25.0,56.5,39.3,36.5,0
19490102,40.0,26.0,56.7,39.4,33.0,0
19490103,33.0,22.0,56.8,39.5,27.5,0
19490104,35.0,19.0,56.9,39.5,27.0,0
19490105,42.0,16.0,57.0,39.6,29.0,0
19490106,50.0,20.0,57.2,39.7,35.0,0
19490107,50.0,22.0,57.3,39.8,36.0,0
19490108,49.0,21.0,57.5,39.9,35.0,0
19490109,44.0,26.0,57.6,39.9,35.0,0
19490110,35.0,20.0,57.7,40.0,27.5,0
19490111,36.0,24.0,57.9,40.1,30.0,0
19490112,39.0,30.0,58.0,40.2,34.5,0
19490113,42.0,30.0,58.2,40.3,36.0,0
19490114,42.0,24.0,58.3,40.3,33.0,0
19490115,40.0,20.0,58.4,40.4,30.0,0
19490116,38.0,29.0,58.6,40.5,33.5,0
19490117,36.0,20.0,58.7,40.6,28.0,0
19490118,40.0,20.0,58.8,40.6,30.0,0
19490119,35.0,25.0,58.9,40.7,30.0,0
19490120,40.0,32.0,59.1,40.8,36.0,0
19490121,46.0,32.0,59.2,40.9,39.0,0
19490122,52.0,36.0,59.3,41.0,44.0,1
19490123,43.0,28.0,59.4,41.0,35.5,0
19490124,41.0,26.0,59.5,41.1,33.5,0
19490125,35.0,26.0,59.6,41.2,30.5,0
19490126,39.0,20.0,59.8,41.3,29.5,0
19490127,39.0,17.0,59.9,41.4,28.0,0
19490128,42.0,20.0,60.0,41.5,31.0,0
19490129,41.0,21.0,60.1,41.6,31.0,0
19490130,39.0,18.0,60.2,41.7,28.5,0
19490131,41.0,19.0,60.3,41.8,30.0,0
19490201,39.0,20.0,60.4,41.9,29.5,0
19490202,42.0,26.0,60.6,42.0,34.0,0
19490203,47.0,25.0,60.7,42.1,36.0,0
19490204,43.0,23.0,60.8,42.2,33.0,0
19490205,46.0,28.0,61.0,42.4,37.0,0
19490206,43.0,22.0,61.1,42.5,32.5,0
19490207,54.0,36.0,61.3,42.6,45.0,1
19490208,45.0,25.0,61.4,42.8,35.0,0
19490209,50.0,22.0,61.6,42.9,36.0,0
